id,A1,RouteID,LINE_ID,cb2LineID,Town_N,TiImstamp,Point_ID,evaL933ID,ROADNAME,A3,A4,A5,A6,userid,A8,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C5_1,C5_2,C5_3,C6,C6_1,C6_2,C7,D1,D1_1,D1_2,D1_3,D1_4,D1_5,D2,D2_1,D2_2,D2_3,D3,D3_1,D3_2,D3_3,D4,E1_1,E1_2,E1_21,E1_3,E1_4,E1_5,E1_6,E2_2,E2_1,E2_3,E2_4,E2_5,E3,F0,F1,F1_1,F1_2,F1_3,F1_4,F!_4,F2,F2_1,F2_2,F2_3,F2_4,F3,F3_1,F3_2,F3_3,F4,F4_1,F4_2,F4_3,F4_4,F5,F6,F6_1,F6_2,F6_3,F6_4,F7,F7_1,F7_2,F7_3,F7_4,F8,F9_1,F9_2,F9_3,F9_4,F9_5,F10,G0,G1,G2,G3,G4,G5,H0,H1,H2,H3,H4,H5,H6,I1,I2,I3,I4,I5,I6,I7,I8,F9,c1_check,test,test_2,jstest2,Cjs,test_1,A,geocode,city,country,I9,I10,J1,J0,Pivot,editor,Attract,SW_DIRECT,AttractCode,Name,UserName,EditName,T_weather,T_date,TC_lane1,TC_lane2,TC_oplane,TC_SW,TP_lane,TP_bike,TP_swalk,TP_build,TP,TB_bikelane,TB_nbikelane,TB,landmark,trafficRoadname,direction,T_21,T_time,trafficuser,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,D2_3check,id,A1,RouteID,B4__0,B4__1,B4__2,B4__3,B4__4,B7__0,B7__1,B7__2,B7__3,B7__4,B7__5,B7__6,B8__0,B8__1,B8__2,B8__3,B8__4,B11__0,B11__1,B11__2,B11__3,B11__4,B11__5,B11__6,C1__0,C1__1,C1__2,C1__3,C1__4,C1__5,C1__6,C1__7,C1__8,C1__9,C5_2__1,C5_2__2,C5_2__3,C5_2__4,C6_1__1,C6_1__2,C6_1__3,D1_1__1,D1_1__2,D1_1__3,D1_1__4,D1_2__1,D1_2__0,D1_2__3,D1_2__4,D1_2__5,D1_2__6,D1_2__7,D1_3__0,D1_3__1,D1_3__2,D1_3__3,D1_3__4,D1_3__5,D1_3__6,D1_3__7,D1_3__8,D3_2__1,D3_2__2,D3_2__3,D3_2__4,D2_2__1,D2_2__2,D2_2__3,D2_2__4,D2_2__5,D2_2__6,D2_2__7,D2_2__8,D2_2__9,J1__1,J1__2,J1__3,RouteID,Ana_lane,Ana_Oplane,Ana_continue,Ana_crowded,Ana_W_lane,Ana_W_swnet,Ana_W_swsum,Ana_swmajority,Ana_swmin,Ana_W_swtotal,Ana_E2_1_2,Ana_E2_3_2,Ana_E2_4_2,Ana_E2_5_2,Ana_E1_2,Ana_W_swnet2,Ana_flow1,Ana_flow2,Ana_Obstacle,Ana_access_P1,Ana_access_P1_21,Ana_access_P1_22,Ana_access_P1_23,Ana_access_P1_24,ana_access_P1_3,Ana_access_P2,ana_access_P2_21,ana_access_P2_22,ana_access_P2_23,ana_access_P2_24,ana_access_P2_3,Ana_access_P3,ana_access_P3_22,ana_access_P3_3,Ana_access_P4,ana_access_P4_22,ana_access_P4_3,Ana_access_P6,ana_access_P6_22,ana_access_P6_23,ana_access_P6_3,Ana_access_P7,ana_access_P7_22,ana_access_P7_23,ana_access_P7_3,Ana_access_PT_1,Ana_access_PT_2,Ana_access_PT_3,ana_access_section,Ana_access_section1,Ana_access_section2,Ana_access_section3,Ana_access_section4,Acci_count,Ana_acci_rate,Ana_disturb_bike,Ana_disturb_motorcycle,Ana_disturb_motor,Ana_pavement_materal,Ana_protect,Ana_shade,Ana_flow3,RouteID,id,Length_ROAD,Length_SW,Area_SWP,P_C1,P_C2,P_M1,P_M2,P_M3,P_M4,P_M5,P_B1,Line_ID,Region,trafficZone,blockID,P_NM,rushHour,carparkingSupply,carParking,motorushHour,motoparkingSupply,motoParking,motoNocell,motoOk,motoViolation,motoViolationwalkroad,bikeCarrier,bikePark,bikeOther,bikeViolation,Event_ID,Year,Month,date,address,Acci_vehical,hert,reason,Acci_rate
35,13,0010101,101,101,中山區,2015-01-26 11:26:43,1,13,大直街,北安路,大直街127巷,北安路-大直街,2,723,11/4/14 0:00,,2,1,4,"[""0""]",0,1,"[""1"",""4""]","[""0""]",0,1,"[""6"",""4""]",#NA,"[""1""]",1,3,2014-11-04 00:00:00,1,1,"[""4""]",0.00,#NA,1,1,#NA,1,"[""4""]","[""1""]","[""1""]",1,0,1,1,"[""0""]",0.80,0,#NA,#NA,#NA,#NA,0.00,0.00,0.00,1.80,10.00,1.80,0.00,0.80,0.80,0.00,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,1,1,1,1,#NA,1,4,1,1,1,#NA,1,2,2,6,2,2,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,南側,"(25.0829604, 121.54849539999998):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,南側,1,林韋臣,002,,晴,11/25/14 0:00,140.88,169,0,0,8,0,107,0,115,0,0,0,實踐大學,大直街,向東,大直街,7-8,陳盈璇,4,111,54,3,8,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,35,13,0010101,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010101,1,1,1,3,13.6,0.80,0.8,0.8,0.8,1.8,0,0.00,0,0,0,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,0,0,1,1,0,0,0,0,1,0,0,270.4,1,1,3,1,0010101,35,436.36,229.3342449,330.3979125,1,B,2,C,0,0,0,0,101,中山,79,42,0,平日11:00~12:00,785,932,平日10:00~11:00,916,1524,0,0,0,0,0,0,3,2,,,,,,,,,
36,14,0010102,101,101,中山區,2014-12-04 20:00:42,1,14,大直街,大直街127巷,大直街101巷,北安路-大直街,2,723,11/4/14 0:00,,2,1,4,"[""0""]",0,1,"[""1""]","[""0""]",0,1,"[""6""]",#NA,"[""1""]",1,3,2014-11-04 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""7""]",1,0,1,1,"[""0""]",0.90,0,#NA,#NA,#NA,#NA,0.00,0.00,0.00,1.80,10.00,1.80,0.00,0.90,0.90,0.00,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,1,1,1,1,#NA,1,4,1,1,1,#NA,1,2,2,6,2,3,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,南側,"(25.0841569, 121.54757749999999):18",taipei,taiwan,#NA,#NA,#NA,1,1,723,文教區,南側,1,林韋臣,002,林韋臣,晴,11/25/14 0:00,140.88,169,0,0,8,0,107,0,115,0,0,0,實踐大學,大直街,向東,大直街,7-8,陳盈璇,4,111,54,3,8,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,36,14,0010102,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010102,1,1,1,3,13.6,0.90,0.9,0.9,0.9,1.8,0,0.00,0,0,0,8,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,0,0,1,1,0,0,0,0,1,0,0,270.4,1,1,3,1,0010102,36,436.36,40.25965684,27.33317463,1,B,2,C,0,0,0,0,101,中山,79,21,0,平日11:00~12:00,785,932,平日10:00~11:00,916,1524,0,0,0,0,0,0,7,3,,,,,,,,,
37,15,0010103,101,101,中山區,2014-12-04 20:02:09,1,15,大直街,大直街101巷,大直街他,北安路-大直街,2,723,11/4/14 0:00,,2,1,4,"[""0""]",0,1,"[""1""]","[""0""]",0,1,"[""6""]",#NA,"[""1""]",1,3,2014-11-04 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""0""]",2,0,1,1,"[""0""]",0.90,0,#NA,#NA,#NA,#NA,0.00,0.00,0.00,1.80,10.00,1.80,0.00,0.90,0.90,0.00,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,1,1,1,1,1,#NA,1,4,1,1,1,#NA,1,2,2,6,2,2,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,南側,"(25.0841569, 121.54757749999999):18",taipei,taiwan,#NA,#NA,#NA,1,1,723,文教區,南側,1,林韋臣,002,林韋臣,晴,11/25/14 0:00,140.88,169,0,0,8,0,107,0,115,0,0,0,實踐大學,大直街,向東,大直街,7-8,陳盈璇,4,111,54,3,8,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,37,15,0010103,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010103,1,1,1,3,13.6,0.90,0.9,0.9,0.9,1.8,0,0.00,0,0,0,8,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,0,0,0,1,0,0,0,0,1,0,1.68642852,270.4,1,1,3,1,0010103,37,436.36,352.4871867,534.8698959,1,B,2,C,0,5,5,0,101,中山,79,20,0,平日11:00~12:00,785,932,平日10:00~11:00,916,1524,0,0,0,5,0,0,2,1,,,,,,,,,
56,41,0010201,102,102,中山區,2015-01-28 11:12:25,1,41,北安路,大直街,北安路621巷,大直街-大直街,2,723,11/4/14 0:00,,2,1,3,"[""0""]",1,1,"[""1"",""3"",""4""]","[""0""]",1,1,"[""6"",""4"",""3""]",#NA,"[""1"",""2""]",1,3,2014-11-04 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""1"",""7""]",1,0,1,2,"[""2"",""3"",""5""]",0.10,1,1,"[""1"",""2"",""4""]",1.70,#NA,3.30,0.00,0.00,1.40,21.00,1.40,0.00,1.40,0.10,1.70,0.00,0.00,行道樹樹穴與人行道同寬,1,1,1,4,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,2,1,1,2,#NA,1,4,1,1,1,#NA,1,1,1,2,5,3,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,西側,"(25.0829117, 121.54635630000007):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,西側,1,林韋臣,002,,晴,11/26/14 0:00,455.36,591,0,0,14,0,53,153,220,0,0,0,實踐大學,北安路,向南,實踐大學,8-9,陳盈璇,53,260,238,40,14,0,0,0,53,153,0,0,0,0,0,0,0,0,0,0,1.7,56,41,0010201,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0010201,2,2,1,3,23.8,1.70,1.8,3.1,1.8,4.7,0,1.70,0,0,0,3,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.5,0.5,0,1,1,0,0,0,0,1,0,4.540177325,788,1,1,1,1,0010201,56,143.12,64.85307145,52.94776835,1,B,2,C,0,10,10,0,102,中山,79,49,1,平日11:00~12:00,785,932,平日10:00~11:00,916,1524,0,0,2,8,0,0,3,7,,,,,,,,,
57,42,0010202,102,102,中山區,2015-02-03 11:12:04,1,42,北安路,北安路621巷,北安路595巷,大直街-大直街,2,723,11/4/14 14:57,,2,1,2,"[""0""]",1,1,"[""1"",""3"",""4""]","[""0""]",1,1,"[""6"",""4"",""3""]",#NA,"[""1"",""2""]",1,3,2014-11-04 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""7""]",4,0,1,2,"[""3""]",0.10,1,2,"[""4""]",1.10,#NA,3.40,0.00,0.00,1.20,21.00,1.20,0.00,1.20,0.10,2.60,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,1,1,1,1,1,2,#NA,#NA,0,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,3,1,1,2,#NA,1,4,1,1,1,#NA,1,1,1,2,5,3,#NA,/images/stories/710/w0s3x0Jb.jpg,/images/stories/710/79mj5sFX.jpg,#NA,#NA,#NA,#NA,#NA,/images/stories/710/QPXNsYgp.jpg,1,,#NA,#NA,0,0,#NA,西側,"(25.0825458, 121.54766949999998):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,西側,1,林韋臣,002,,晴,11/26/14 0:00,455.36,591,0,0,14,0,53,153,220,0,0,0,實踐大學,北安路,向南,實踐大學,8-9,陳盈璇,53,260,238,40,14,0,0,0,53,153,0,0,0,0,0,0,0,0,0,0,2.6,57,42,0010202,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0010202,2,2,1,3,23.4,2.60,2.7,3.8,1.2,4.6,0,2.60,0,0,0,1,1,1,5,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,#NA,1,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.5,0.25,0.25,4,0,0,0,1,0,1,0,0.077980813,788,1,2,1,1,0010202,57,379.81,251.7238377,125.7796889,1,B,2,C,0,1,1,0,102,中山,79,46,1,平日11:00~12:00,785,932,平日10:00~11:00,916,1524,0,0,0,1,0,0,0,4,,,,,,,,,
64,43,0010203,102,102,中山區,2014-12-29 17:17:31,1,43,北安路,北安路595巷,北安路573巷,大直街-大直街,2,723,11/5/14 0:00,,2,1,2,"[""0""]",1,1,"[""1"",""3"",""4"",""6""]","[""0""]",1,1,"[""6"",""4"",""3""]",#NA,"[""1"",""2""]",1,3,2014-11-05 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""7""]",1,0,1,1,"[""0""]",0.30,1,2,"[""1"",""2""]",1.30,#NA,3.20,0.00,0.00,1.40,21.00,1.40,0.00,1.40,0.30,1.30,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,2,1,1,2,#NA,1,4,1,1,1,#NA,1,1,1,1,5,2,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,西側,"(25.0813356, 121.54773269999998):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,西側,1,林韋臣,002,,晴,11/26/14 0:00,455.36,591,0,0,14,0,53,153,220,0,0,0,實踐大學,北安路,向南,實踐大學,8-9,陳盈璇,53,260,238,40,14,0,0,0,53,153,0,0,0,0,0,0,0,0,0,0,1.3,64,43,0010203,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010203,2,2,1,3,23.8,1.30,1.6,2.7,1.6,4.6,0,1.30,0,0,0,5,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.5,0.5,0,1,1,0,0,0,0,1,0,0.416195753,788,1,1,1,1,0010203,64,379.81,477.5397115,729.509383,1,B,2,C,0,6,6,0,102,中山,80,45,1,平日16:00~17:00,766,880,平日10:00~11:00,655,1056,0,0,6,0,0,0,0,7,,,,,,,,,
65,44,0010204,102,102,中山區,2015-02-03 11:12:59,1,44,北安路,北安路573巷,北安路565巷,大直街-大直街,1,723,11/5/14 0:00,,2,1,2,"[""0""]",1,1,"[""1""]","[""0""]",1,1,"[""6"",""4"",""3""]",#NA,"[""1"",""2""]",1,3,2014-11-05 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""7""]",2,0,1,2,"[""3""]",0.10,1,2,"[""1"",""2"",""4""]",1.50,#NA,3.00,0.00,0.00,1.40,21.00,1.40,0.00,1.40,0.10,1.50,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,2,1,1,2,#NA,1,4,1,1,1,#NA,1,1,1,2,5,2,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,西側,"(25.0809628, 121.54779989999997):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,西側,1,林韋臣,002,,晴,11/26/14 0:00,455.36,591,0,0,14,0,53,153,220,0,0,0,實踐大學,北安路,向南,實踐大學,8-9,陳盈璇,53,260,238,40,14,0,0,0,53,153,0,0,0,0,0,0,0,0,0,0,1.5,65,44,0010204,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0010204,2,2,1,3,23.8,1.50,1.6,2.9,1.6,4.4,0,1.50,0,0,0,3,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.5,0.5,0,1,1,0,0,0,0,1,0,5.729315326,788,1,1,1,1,0010204,65,379.81,104.0700269,83.97690386,1,B,2,C,0,18,18,0,102,中山,80,46,1,平日16:00~17:00,766,880,平日10:00~11:00,655,1056,0,0,14,4,0,0,0,23,,,,,,,,,
68,45,0010205,102,102,中山區,2015-02-03 11:19:53,1,45,北安路,北安路565巷,大直街,大直街-大直街,1,723,11/5/14 10:02,,2,1,2,"[""0""]",1,1,"[""1"",""4""]","[""0""]",1,1,"[""6""]",#NA,"[""1"",""2""]",1,3,2014-11-05 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""7""]",1,0,1,2,"[""3"",""5""]",0.10,1,2,"[""1"",""2"",""4""]",2.40,#NA,3.00,0.00,0.00,1.40,21.00,1.40,0.00,1.40,0.10,2.40,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,2,1,1,2,#NA,1,4,1,1,1,#NA,1,2,2,6,5,3,#NA,/images/stories/710/ptChZnRy.jpg,/images/stories/710/1XtbctLv.jpg,#NA,#NA,/images/stories/710/pN3QD3xs.jpg,#NA,#NA,/images/stories/710/DzdwMj7T.jpg,1,,#NA,#NA,0,0,#NA,西側,"(25.0812969, 121.54642100000001):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,西側,1,林韋臣,002,,晴,11/26/14 0:00,455.36,591,0,0,14,0,53,153,220,0,0,0,實踐大學,北安路,向南,實踐大學,8-9,陳盈璇,53,260,238,40,14,0,0,0,53,153,0,0,0,0,0,0,0,0,0,0,2.4,68,45,0010205,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0010205,2,2,1,3,23.8,2.40,2.5,3.8,2.5,4.4,0,2.40,0,0,0,2,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.5,0.5,0,1,1,0,0,0,0,1,0,1.580426891,788,1,1,3,1,0010205,68,379.81,147.5550697,179.5502925,1,B,2,C,0,11,11,0,102,中山,80,47,1,平日16:00~17:00,766,880,平日10:00~11:00,655,1056,0,0,11,0,0,0,0,4,,,,,,,,,
70,64,0010301,103,103,中山區,2015-02-03 11:11:01,1,64,北安路,大直街,北安路501巷,大直街-北安路501巷,1,723,11/5/14 0:00,,2,1,2,"[""0""]",2,1,"[""1""]","[""0""]",1,1,"[""6"",""5""]",#NA,"[""1""]",1,3,2014-11-05 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""3"",""7""]","[""1"",""2"",""3"",""7""]",1,0,1,1,"[""0""]",1.30,1,1,"[""0""]",0.00,#NA,0.00,0.00,0.00,5.00,21.00,1.40,0.00,0.50,1.30,0.00,0.00,0.00,#NA,1,1,1,4,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,#NA,0,#NA,#NA,#NA,#NA,0,#NA,#NA,#NA,#NA,#NA,2,1,1,1,1,#NA,1,4,1,1,1,#NA,1,1,1,2,2,2,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,北側,"(25.0841064, 121.54935019999994):18",taipei,taiwan,#NA,#NA,#NA,1,1,706,文教區,北側,1,林韋臣,002,,,11/26/14 0:00,2108.48,3104,0,0,0,0,61,0,61,0,2,2,實踐大學,北安路,,(請註明地址),7-8,黃鼎元,106,1139,1854,5,0,0,2,0,61,0,0,0,0,0,0,0,0,0,0,0,0,70,64,0010301,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010301,3,2,1,3,27.4,1.30,1.3,0.5,1.3,5,0,0.00,0,0,0,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.5,0.5,0,1,1,0,0,0,0,1,93.84615385,0,0,1,1,1,1,0010301,70,301.52,296.9988873,369.6977364,1,B,2,C,0,0,0,0,103,中山,80,48,1,平日16:00~17:00,766,880,平日10:00~11:00,655,1056,0,0,0,0,0,0,1,2,,,,,,,,,
39,81,0010401,104,104,中山區,2014-12-04 20:02:56,1,81,大直街,大直街,大直街57巷,大直街-北安路,2,723,11/4/14 0:00,,2,1,4,"[""0""]",0,1,"[""1"",""2""]","[""0""]",0,1,"[""6""]",#NA,"[""1"",""2""]",1,3,2014-11-04 00:00:00,1,1,#NA,0.00,#NA,1,1,#NA,1,"[""4""]","[""2""]","[""2""]",2,0,1,1,"[""0""]",1.20,1,2,"[""1""]",1.50,#NA,7.30,0.00,0.00,1.20,12.00,1.20,0.00,0.00,1.20,3.50,0.00,0.00,#NA,1,1,2,1,1,2,0,1,1,1,1,1,1,2,#NA,#NA,1,2,#NA,#NA,0,#NA,1,2,4,2,1,0,#NA,#NA,#NA,#NA,#NA,3,2,1,1,5,#NA,1,3,2,1,1,#NA,1,2,2,3,2,4,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1,,#NA,#NA,0,0,#NA,西側,"(25.0833119, 121.54634050000004):18",taipei,taiwan,#NA,#NA,#NA,1,1,723,文教區,西側,1,林韋臣,002,林韋臣,陰,11/26/14 0:00,164.06,253,0,0,9,0,407,0,416,0,12,12,實踐大學,大直街,,(請註明地址),8-9,,0,125,93,35,9,0,12,0,407,0,0,0,0,0,0,0,0,0,0,0,3.5,39,81,0010401,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010401,1,1,1,3,14.4,3.50,4.7,3.5,2.7,8.5,0,3.50,0,0,0,1,1,1,3,2,1,1,0,0,0,2,0,1,0,0,0,3,#NA,1,3,#NA,1,1,0,0,0,#NA,#NA,#NA,#NA,0.2,0.4,0.4,4,0,0,0,1,0,1,1039.148936,29.19983319,379.5,1,1,3,1,0010401,39,436.36,174.9718535,140.6293491,1,A,1,B,0,59,59,0,104,中山,84,15,0,平日10:00~11:00,481,451,平日11:00~12:00,323,359,0,0,59,0,0,0,10,7,,,,,,,,,
